----,
DateTime:,      2021/06/11, 11:38:04, 1623422283796,
PIF:,           -616.76,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    34.52,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
DateTime:,      2021/06/11, 11:41:08, 1623422467923,
PIF:,           -443.31,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,    80.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    52.29,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,     91.772,    2322.424,      0.000,
    2,        3.3,     89.141,    2339.620,      0.000,
    3,        5.8,     88.654,    2357.421,      0.000,
    4,        8.3,     88.184,    2374.740,      0.000,
    5,       10.8,     87.938,    2392.063,      0.000,
    6,       13.3,     87.656,    2410.943,      0.000,
    7,       15.8,     87.300,    2433.151,      0.000,
    8,       18.3,     87.227,    2443.222,      0.000,
    9,       20.8,     85.886,    2487.195,      0.000,
   10,       23.3,     85.734,    2497.654,      0.000,
   11,       25.8,     86.033,    2495.011,      0.000,
   12,       28.3,     85.987,    2502.858,      0.000,
   13,       30.8,     85.483,    2526.055,      0.000,
   14,       33.3,     85.368,    2540.219,      0.000,
   15,       35.8,     85.092,    2560.209,      0.000,
   16,       38.3,     84.448,    2587.547,      0.000,
   17,       40.8,     84.911,    2583.355,      0.000,
   18,       43.3,     84.372,    2607.673,      0.000,
   19,       45.8,     84.794,    2601.525,      0.000,
   20,       48.3,     83.998,    2631.903,      0.000,
   21,       50.8,     83.676,    2648.724,      0.000,
   22,       53.3,     83.073,    2676.384,      0.000,
   23,       55.8,     83.450,    2672.436,      0.000,
   24,       58.3,     83.126,    2690.790,      0.000,
   25,       60.8,     83.212,    2694.482,      0.000,
   26,       63.3,     82.151,    2737.574,      0.000,
   27,       65.8,     82.967,    2715.453,      0.000,
   28,       68.3,     82.457,    2738.805,      0.000,
   29,       70.8,     82.337,    2748.637,      0.000,
   30,       73.3,     82.746,    2742.540,      0.000,
   31,       75.8,     82.037,    2771.351,      0.000,
   32,       78.3,     81.678,    2789.922,      0.000,
   33,       80.8,     81.442,    2804.133,      0.000,
   34,       83.3,     81.420,    2809.799,      0.000,
   35,       85.8,     81.348,    2816.723,      0.000,
   36,       88.3,     81.144,    2829.958,      0.000,
   37,       90.8,     80.622,    2853.991,      0.000,
   38,       93.3,     81.011,    2843.495,      0.000,
   39,       95.8,     81.612,    2828.187,      0.000,
   40,       98.3,     80.802,    2860.501,      0.000,
   41,      100.8,     80.378,    2879.071,      0.000,
   42,      103.3,     81.249,    2853.887,      0.000,
   43,      105.8,     81.115,    2860.809,      0.000,
   44,      108.3,     80.927,    2871.646,      0.000,
   45,      110.8,     80.591,    2888.104,      0.000,
   46,      113.3,     80.993,    2874.983,      0.000,
   47,      115.8,     80.608,    2893.447,      0.000,
   48,      118.3,     80.531,    2897.934,      0.000,
   49,      120.8,     79.256,    2948.093,      0.000,
   50,      123.3,     79.570,    2938.467,      0.000,
   51,      125.8,     79.493,    2944.353,      0.000,
   52,      128.3,     80.031,    2926.041,      0.000,
